Passage,Question,AnsText
"ভিটামিন A এর অভাবে রাতকানা রোগ হয়। এর অভাব দীর্ঘস্থায়ী হলে চোখের কর্নিয়ায় আলসার হতে পারে - এ অবস্থাকে জেরপথ্যালমিয়া রোগ বলে। এই রোগ হলে আক্রান্ত মানুষ পুরোপুরি অন্ধ হয়ে যেতে পারে৷ ভিটামিন A এর অভাবে দেহের বৃদ্ধি বাধাপ্রাপ্ত হয়। অনেক সময় ঘা, সর্দি, কাশি, গলাব্যথা ইত্যাদি উপসর্গও দেখা দেয়। ভিটামিন A এর অভাবে ত্বকের লোমকুপের গোড়ায় ছোট ছোট গুটির সৃষ্টি হতে পারে।",জেরপথ্যালমিয়া রোগে আক্রান্ত মানুষ কী হয়?,অন্ধ।
"ভিটামিন A এর অভাবে রাতকানা রোগ হয়। এর অভাব দীর্ঘস্থায়ী হলে চোখের কর্নিয়ায় আলসার হতে পারে - এ অবস্থাকে জেরপথ্যালমিয়া রোগ বলে। এই রোগ হলে আক্রান্ত মানুষ পুরোপুরি অন্ধ হয়ে যেতে পারে৷ ভিটামিন A এর অভাবে দেহের বৃদ্ধি বাধাপ্রাপ্ত হয়। অনেক সময় ঘা, সর্দি, কাশি, গলাব্যথা ইত্যাদি উপসর্গও দেখা দেয়। ভিটামিন A এর অভাবে ত্বকের লোমকুপের গোড়ায় ছোট ছোট গুটির সৃষ্টি হতে পারে।",ভিটামিন A এর অভাবে কোন সমস্যা দেখা দেয়?,"ঘা, সর্দি, কাশি, গলাব্যথা ইত্যাদি সমস্যার উপসর্গ।"
"ভিটামিন A এর অভাবে রাতকানা রোগ হয়। এর অভাব দীর্ঘস্থায়ী হলে চোখের কর্নিয়ায় আলসার হতে পারে - এ অবস্থাকে জেরপথ্যালমিয়া রোগ বলে। এই রোগ হলে আক্রান্ত মানুষ পুরোপুরি অন্ধ হয়ে যেতে পারে৷ ভিটামিন A এর অভাবে দেহের বৃদ্ধি বাধাপ্রাপ্ত হয়। অনেক সময় ঘা, সর্দি, কাশি, গলাব্যথা ইত্যাদি উপসর্গও দেখা দেয়। ভিটামিন A এর অভাবে ত্বকের লোমকুপের গোড়ায় ছোট ছোট গুটির সৃষ্টি হতে পারে।",ভিটামিন A এর অভাবে ত্বকের কী সমস্যা হতে পারে?,ত্বকের লোমকুপের গোড়ায় ছোট ছোট গুটির সৃষ্টি।
"হাড় এবং দাঁতের গঠন শক্ত রাখার জন্য ক্যালসিয়াম একটি অতিপ্রয়োজনীয় খনিজ পদার্থ। এ ছাড়া ক্যালসিয়াম রক্ত সঞ্চালনে, হৃৎপিণ্ডের পেশির স্বাভাবিক সংকোচনে এবং স্নায়ু পেশির সঞ্চালনে
সাহায্য করে। ক্যালসিয়ামের অভাবের কারণে রিকেটস এবং বয়স্ক নারীদের অস্টিওম্যালেসিয়া রোগ
হয়। এর অভাবে শিশুদের দাঁত উঠতে দেরি হয় এবং তাদের রক্ত সঞ্চালনে বিগ্ন ঘটে।", ক্যালসিয়াম কোন কাজে সাহায্য করে? ,
"হাড় এবং দাঁতের গঠন শক্ত রাখার জন্য ক্যালসিয়াম একটি অতিপ্রয়োজনীয় খনিজ পদার্থ। এ ছাড়া ক্যালসিয়াম রক্ত সঞ্চালনে, হৃৎপিণ্ডের পেশির স্বাভাবিক সংকোচনে এবং স্নায়ু পেশির সঞ্চালনে
সাহায্য করে। ক্যালসিয়ামের অভাবের কারণে রিকেটস এবং বয়স্ক নারীদের অস্টিওম্যালেসিয়া রোগ
হয়। এর অভাবে শিশুদের দাঁত উঠতে দেরি হয় এবং তাদের রক্ত সঞ্চালনে বিগ্ন ঘটে।",,"ক্যালসিয়াম রক্ত সঞ্চালনে, হৃদপিণ্ডের পেশির স্বাভাবিক সংকোচনে এবং স্নায়ু পেশির সঞ্চালনে সাহায্য করে।"
"হাড় এবং দাঁতের গঠন শক্ত রাখার জন্য ক্যালসিয়াম একটি অতিপ্রয়োজনীয় খনিজ পদার্থ। এ ছাড়া ক্যালসিয়াম রক্ত সঞ্চালনে, হৃৎপিণ্ডের পেশির স্বাভাবিক সংকোচনে এবং স্নায়ু পেশির সঞ্চালনে
সাহায্য করে। ক্যালসিয়ামের অভাবের কারণে রিকেটস এবং বয়স্ক নারীদের অস্টিওম্যালেসিয়া রোগ
হয়। এর অভাবে শিশুদের দাঁত উঠতে দেরি হয় এবং তাদের রক্ত সঞ্চালনে বিগ্ন ঘটে।",ক্যালসিয়াম অভাবে কোন রোগ হয়?,রিকেটস এবং বয়স্ক নারীদের অস্টিওম্যালেসিয়া রোগ হয়।
"হাড় এবং দাঁতের গঠন শক্ত রাখার জন্য ক্যালসিয়াম একটি অতিপ্রয়োজনীয় খনিজ পদার্থ। এ ছাড়া ক্যালসিয়াম রক্ত সঞ্চালনে, হৃৎপিণ্ডের পেশির স্বাভাবিক সংকোচনে এবং স্নায়ু পেশির সঞ্চালনে
সাহায্য করে। ক্যালসিয়ামের অভাবের কারণে রিকেটস এবং বয়স্ক নারীদের অস্টিওম্যালেসিয়া রোগ
হয়। এর অভাবে শিশুদের দাঁত উঠতে দেরি হয় এবং তাদের রক্ত সঞ্চালনে বিগ্ন ঘটে।",ক্যালসিয়াম অভাবে শিশুদের কি হয়?,শিশুদের দাঁত উঠতে দেরি হয় এবং তাদের রক্ত সঞ্চালনে বিগ্ন ঘটে।
"পানি খাদ্যের একটি প্রধান উপাদান। মানবদেহের জন্য পানি অপরিহার্য। দেহের গঠন এবং অভ্যন্তরীণ কাজ পানি ছাড়া চলতে পারে না। আমাদের দৈহিক ওজনের ৬০%-৭৫% হচ্ছে পানি। আমাদের রক্ত, মাংস, স্নায়ু, দাঁত, হাড় ইত্যাদি প্রতিটি অগ্জ গঠনের জন্য পানির প্রয়োজন।",পানি কি জন্য অপরিহার্য?,"পানি মানবদেহের জন্য অপরিহার্য, কারণ দেহের গঠন এবং অভ্যন্তরীণ কাজ পানি ছাড়া চলতে পারে না।"
"পানি খাদ্যের একটি প্রধান উপাদান। মানবদেহের জন্য পানি অপরিহার্য। দেহের গঠন এবং অভ্যন্তরীণ কাজ পানি ছাড়া চলতে পারে না। আমাদের দৈহিক ওজনের ৬০%-৭৫% হচ্ছে পানি। আমাদের রক্ত, মাংস, স্নায়ু, দাঁত, হাড় ইত্যাদি প্রতিটি অগ্জ গঠনের জন্য পানির প্রয়োজন।",দেহের কত শতাংশ পানি থাকে?,আমাদের দৈহিক ওজনের ৬০%-৭৫% হচ্ছে পানি।
"পানি খাদ্যের একটি প্রধান উপাদান। মানবদেহের জন্য পানি অপরিহার্য। দেহের গঠন এবং অভ্যন্তরীণ কাজ পানি ছাড়া চলতে পারে না। আমাদের দৈহিক ওজনের ৬০%-৭৫% হচ্ছে পানি। আমাদের রক্ত, মাংস, স্নায়ু, দাঁত, হাড় ইত্যাদি প্রতিটি অগ্জ গঠনের জন্য পানির প্রয়োজন।",পানি কোন অঙ্গ গঠনের জন্য প্রয়োজন?,"পানি প্রতিটি অঙ্গ গঠনের জন্য প্রয়োজন, যেমন রক্ত, মাংস, স্নায়ু, দাঁত, হাড় ইত্যাদি।"
"সুষম খাদ্য বলতে কোনো নির্দিষ্ট খাদ্যবস্তুকে বোঝায় না। যে খাদ্যে ছয়টি উপাদানই গুণাগুণ অনুসারে উপযুক্ত পরিমাণে থাকে এবং যে খাদ্য গ্রহণ করলে দেহে স্বাভাবিক কাজ-কর্মের জন্য উপযুক্ত পরিমাণ ক্যালরি পাওয়া যায়, তাকে সুষম খাদ্য বলে। যেমন: একজন পূর্ণবয়স্ক সুস্থ কর্মশীল পুরুষের প্রতিদিন প্রায় ২৫০০ এবং নারীর বেলায় ২০০০ কিলোক্যালরি শক্তির প্রয়োজন। এ শক্তি বা ক্যালরি আমরা খাদ্য থেকে পাই। সেজন্য আমাদের দৈনন্দিন খাদ্যতালিকায় এমন ধরনের খাদ্য থাকা দরকার, যাতে সে খাদ্যের মধ্যে ছয়টি উপাদানই সঠিক পরিমাণে থাকে।",সুষম খাদ্য কি?,সুষম খাদ্য হলো এমন খাদ্য যেখানে ছয়টি উপাদানই সঠিক পরিমাণে থাকে এবং যা দেহে স্বাভাবিক কাজ-কর্মের জন্য উপযুক্ত পরিমাণ ক্যালরি পাওয়া যায়।
"সুষম খাদ্য বলতে কোনো নির্দিষ্ট খাদ্যবস্তুকে বোঝায় না। যে খাদ্যে ছয়টি উপাদানই গুণাগুণ অনুসারে উপযুক্ত পরিমাণে থাকে এবং যে খাদ্য গ্রহণ করলে দেহে স্বাভাবিক কাজ-কর্মের জন্য উপযুক্ত পরিমাণ ক্যালরি পাওয়া যায়, তাকে সুষম খাদ্য বলে। যেমন: একজন পূর্ণবয়স্ক সুস্থ কর্মশীল পুরুষের প্রতিদিন প্রায় ২৫০০ এবং নারীর বেলায় ২০০০ কিলোক্যালরি শক্তির প্রয়োজন। এ শক্তি বা ক্যালরি আমরা খাদ্য থেকে পাই। সেজন্য আমাদের দৈনন্দিন খাদ্যতালিকায় এমন ধরনের খাদ্য থাকা দরকার, যাতে সে খাদ্যের মধ্যে ছয়টি উপাদানই সঠিক পরিমাণে থাকে।",সুষম খাদ্যের কতটি উপাদান থাকে?, সুষম খাদ্যে ছয়টি উপাদান থাকে।
"সুষম খাদ্য বলতে কোনো নির্দিষ্ট খাদ্যবস্তুকে বোঝায় না। যে খাদ্যে ছয়টি উপাদানই গুণাগুণ অনুসারে উপযুক্ত পরিমাণে থাকে এবং যে খাদ্য গ্রহণ করলে দেহে স্বাভাবিক কাজ-কর্মের জন্য উপযুক্ত পরিমাণ ক্যালরি পাওয়া যায়, তাকে সুষম খাদ্য বলে। যেমন: একজন পূর্ণবয়স্ক সুস্থ কর্মশীল পুরুষের প্রতিদিন প্রায় ২৫০০ এবং নারীর বেলায় ২০০০ কিলোক্যালরি শক্তির প্রয়োজন। এ শক্তি বা ক্যালরি আমরা খাদ্য থেকে পাই। সেজন্য আমাদের দৈনন্দিন খাদ্যতালিকায় এমন ধরনের খাদ্য থাকা দরকার, যাতে সে খাদ্যের মধ্যে ছয়টি উপাদানই সঠিক পরিমাণে থাকে।",পূর্ণবয়স্ক সুস্থ কর্মশীল পুরুষের কত কিলোক্যালরি শক্তির প্রয়োজন?,পূর্ণবয়স্ক সুস্থ কর্মশীল পুরুষের প্রতিদিন প্রায় ২৫০০ কিলোক্যালরি শক্তির প্রয়োজন।
"সুষম খাদ্য বলতে কোনো নির্দিষ্ট খাদ্যবস্তুকে বোঝায় না। যে খাদ্যে ছয়টি উপাদানই গুণাগুণ অনুসারে উপযুক্ত পরিমাণে থাকে এবং যে খাদ্য গ্রহণ করলে দেহে স্বাভাবিক কাজ-কর্মের জন্য উপযুক্ত পরিমাণ ক্যালরি পাওয়া যায়, তাকে সুষম খাদ্য বলে। যেমন: একজন পূর্ণবয়স্ক সুস্থ কর্মশীল পুরুষের প্রতিদিন প্রায় ২৫০০ এবং নারীর বেলায় ২০০০ কিলোক্যালরি শক্তির প্রয়োজন। এ শক্তি বা ক্যালরি আমরা খাদ্য থেকে পাই। সেজন্য আমাদের দৈনন্দিন খাদ্যতালিকায় এমন ধরনের খাদ্য থাকা দরকার, যাতে সে খাদ্যের মধ্যে ছয়টি উপাদানই সঠিক পরিমাণে থাকে।",মহিলাদের বেলায় কত কিলোক্যালরি শক্তির প্রয়োজন থাকে?,নারীর বেলায় ২০০০ কিলোক্যালরি শক্তির প্রয়োজন থাকে।
"জীবাণু বা ব্যাকটেরিয়া খাদ্য নষ্ট করে সেখানে এক ধরনের বিষাক্ত উপাদান তৈরি করে। এই বিষাক্ত উপাদানগুলোকে টক্সিন বলে। এই টক্সিনগুলো নানা ধরনের হয় এবং কোনো কোনো টক্সিনে আক্রান্ত হওয়াকে আমরা ফুড পয়জনিং বলে থাকি। টক্সিন স্নায়ুতন্ত্র আক্রমণ করে মৃত্যু পর্যন্ত ঘটাতে পারে।
",টক্সিন কিভাবে উৎপাদিত হয়?,টক্সিন জীবাণু বা ব্যাকটেরিয়া দ্বারা উৎপাদিত হয়।
"জীবাণু বা ব্যাকটেরিয়া খাদ্য নষ্ট করে সেখানে এক ধরনের বিষাক্ত উপাদান তৈরি করে। এই বিষাক্ত উপাদানগুলোকে টক্সিন বলে। এই টক্সিনগুলো নানা ধরনের হয় এবং কোনো কোনো টক্সিনে আক্রান্ত হওয়াকে আমরা ফুড পয়জনিং বলে থাকি। টক্সিন স্নায়ুতন্ত্র আক্রমণ করে মৃত্যু পর্যন্ত ঘটাতে পারে।
", টক্সিনে আক্রান্ত হওয়াকে আমরা কী নামে জানি?,ফুড পয়জনিং
"জীবাণু বা ব্যাকটেরিয়া খাদ্য নষ্ট করে সেখানে এক ধরনের বিষাক্ত উপাদান তৈরি করে। এই বিষাক্ত উপাদানগুলোকে টক্সিন বলে। এই টক্সিনগুলো নানা ধরনের হয় এবং কোনো কোনো টক্সিনে আক্রান্ত হওয়াকে আমরা ফুড পয়জনিং বলে থাকি। টক্সিন স্নায়ুতন্ত্র আক্রমণ করে মৃত্যু পর্যন্ত ঘটাতে পারে।
",টক্সিন স্নায়ুতন্ত্র আক্রমণ করে কি ঘটাতে পারে?,মৃত্যু পর্যন্ত ঘটাতে পারে।
"ফল পাকানোর জন্য ক্যালসিয়াম কার্বাইড নামক এক ধরণের রাসায়নিক  পদার্থকে ব্যাবহার করা হয়। এটি এমন ধরনের যৌগ, যা বাতাসের বা জলীয় বাষ্পের সংস্পর্শে এসেই উৎপন্ন করে অ্যাসিটিলিন গ্যাস, যা পরবর্তীকালে অ্যাসিটিলিন ইথানল নামক বিষাক্ত রাসায়নিক পদার্থে রুপান্তরিত হয়। এটি স্বাস্থ্যের ভয়ানক ক্ষতি করে।",ফল পাকানোর জন্য কোন রাসায়নিক পদার্থ ব্যাবহার করা হয়?,ক্যালসিয়াম কার্বাইড
"ফল পাকানোর জন্য ক্যালসিয়াম কার্বাইড নামক এক ধরণের রাসায়নিক  পদার্থকে ব্যাবহার করা হয়। এটি এমন ধরনের যৌগ, যা বাতাসের বা জলীয় বাষ্পের সংস্পর্শে এসেই উৎপন্ন করে অ্যাসিটিলিন গ্যাস, যা পরবর্তীকালে অ্যাসিটিলিন ইথানল নামক বিষাক্ত রাসায়নিক পদার্থে রুপান্তরিত হয়। এটি স্বাস্থ্যের ভয়ানক ক্ষতি করে।",বাতাস বা জলীয় বাষ্পের সংস্পর্শে ক্যালসিয়াম কার্বাইড কোন গ্যাস উৎপন্ন করে?,অ্যাসিটিলিন গ্যাস
"ফল পাকানোর জন্য ক্যালসিয়াম কার্বাইড নামক এক ধরণের রাসায়নিক  পদার্থকে ব্যাবহার করা হয়। এটি এমন ধরনের যৌগ, যা বাতাসের বা জলীয় বাষ্পের সংস্পর্শে এসেই উৎপন্ন করে অ্যাসিটিলিন গ্যাস, যা পরবর্তীকালে অ্যাসিটিলিন ইথানল নামক বিষাক্ত রাসায়নিক পদার্থে রুপান্তরিত হয়। এটি স্বাস্থ্যের ভয়ানক ক্ষতি করে।",অ্যাসিটিলিন গ্যাস কিসে রুপান্তরিত হয়?,অ্যাসিটিলিন ইথানল
"তামাক গাছের পাতা ও ডাল শুকিয়ে তামাক তৈরি হয়। শুকনা তামাকপাতা কুচি কুচি করে কেটে তাকে বিশেষ কাগজে মুড়িয়ে সিগারেট এবং পাতায় মুড়িয়ে বিড়ি ও চুরুট বানানো হয়। এগুলোকে পুড়িয়ে তার ধোঁয়া ও বাষ্প সেবনকে ধূমপান বলে। ভামাক থেকে নিকোটিন নামক পদার্থ বের হয়, যা মাদকদ্রব্য হিসেবে নার্ভকে যেমন সাময়িকভাবে উত্তেজিত করে, তেমনি নানাভাবে শরীরের ক্ষতি করে।",তামাক তৈরি হয় কিভাবে?,তামাক গাছের পাতা ও ডাল শুকিয়ে 
"তামাক গাছের পাতা ও ডাল শুকিয়ে তামাক তৈরি হয়। শুকনা তামাকপাতা কুচি কুচি করে কেটে তাকে বিশেষ কাগজে মুড়িয়ে সিগারেট এবং পাতায় মুড়িয়ে বিড়ি ও চুরুট বানানো হয়। এগুলোকে পুড়িয়ে তার ধোঁয়া ও বাষ্প সেবনকে ধূমপান বলে। ভামাক থেকে নিকোটিন নামক পদার্থ বের হয়, যা মাদকদ্রব্য হিসেবে নার্ভকে যেমন সাময়িকভাবে উত্তেজিত করে, তেমনি নানাভাবে শরীরের ক্ষতি করে।",শুকনা তামাকপাতা কিভাবে ব্যবহৃত হয়?,শুকনা তামাকপাতা কুচি কুচি করে কেটে বিশেষ কাগজে মুড়িয়ে সিগারেট এবং পাতায় মুড়িয়ে বিড়ি ও চুরুট তৈরি হয়।
"তামাক গাছের পাতা ও ডাল শুকিয়ে তামাক তৈরি হয়। শুকনা তামাকপাতা কুচি কুচি করে কেটে তাকে বিশেষ কাগজে মুড়িয়ে সিগারেট এবং পাতায় মুড়িয়ে বিড়ি ও চুরুট বানানো হয়। এগুলোকে পুড়িয়ে তার ধোঁয়া ও বাষ্প সেবনকে ধূমপান বলে। ভামাক থেকে নিকোটিন নামক পদার্থ বের হয়, যা মাদকদ্রব্য হিসেবে নার্ভকে যেমন সাময়িকভাবে উত্তেজিত করে, তেমনি নানাভাবে শরীরের ক্ষতি করে।", নিকোটিন কী করে?,নিকোটিন নার্ভকে সাময়িকভাবে উত্তেজিত করে এবং নানাভাবে শরীরের ক্ষতি করে।
